Name,Mw,Omega,Tc,Pc,Vc,Zc,Tm,Tb,Ttr,Ptr,Vliq,SolPar,,,,,,,,,,,,,,,,,
METHANE,"16,043","0,0115","190,564","45,389","0,0986","0,286","90,694","111,66","90,694","1,15E-01","3,80E-02","11,6",,,,,,,,,,,,,,,,,
ETHANE,"30,07","0,0995","305,32","48,083","0,1455","0,279","90,352","184,55","90,352","1,12E-05","5,52E-02","12,4",,,,,,,,,,,,,,,,,
PROPANE,"44,096","0,1523","369,83","41,924","0,2","0,276","85,47","231,11","85,47","1,66E-09","7,57E-02","13,1",,,,,,,,,,,,,,,,,
n-BUTANE,"58,123","0,2002","425,12","37,464","0,255","0,274","134,86","272,65","134,86","6,65E-06","9,65E-02","13,7",,,,,,,,,,,,,,,,,
n-PENTANE,"72,15","0,2515","469,7","33,259","0,313","0,27","143,42","309,22","143,42","6,77E-07","1,16E-01","14,4",,,,,,,,,,,,,,,,,
n-HEXANE,"86,177","0,3013","507,6","29,854","0,371","0,266","177,83","341,88","177,83","8,90E-06","1,31E-01","14,9",,,,,,,,,,,,,,,,,
n-HEPTANE,"100,204","0,3495","540,2","27,042","0,428","0,261","182,57","371,58","182,57","1,80E-06","1,47E-01","15,2",,,,,,,,,,,,,,,,,
n-OCTANE,"114,231","0,3996","568,7","24,574","0,486","0,256","216,38","398,83","216,38","2,08E-05","1,63E-01","15,4",,,,,,,,,,,,,,,,,
n-NONANE,"128,258","0,4435","594,6","22,601","0,544","0,252","219,66","423,97","219,66","4,25E-06","1,80E-01","15,6",,,,,,,,,,,,,,,,,"0,3384"
n-DECANE,"142,285","0,4923","617,7","20,824","0,6","0,247","243,51","447,305","243,51","1,37E-05","1,96E-01","15,7",,,,,,,,,,,,,,,,,"0,226"
n-UNDECANE,"156,312","0,5303",639,"19,245","0,659","0,242","247,571","469,078","247,571","4,03E-06","2,12E-01","15,9",,,,,,,,,,,,,,,,Zratmax,"1,4973451327"
n-DODECANE,"170,338","0,5764",658,"17,962","0,716","0,238","263,568","489,473","263,568","6,07E-06","2,29E-01","15,9",,,,,,,,,,,,,,,,,
n-TRIDECANE,"184,365","0,6174",675,"16,58","0,775","0,232","267,76","508,616","267,76","2,48E-06","2,45E-01","16,1",,,,,,,,,,,,,,,,,
n-TETRADECANE,"198,392","0,643",693,"15,495","0,83","0,226","279,01","526,727","279,01","2,49E-06","2,61E-01","16,1",,,,,,,,,,,,,,,,,
n-PENTADECANE,"212,419","0,6863",708,"14,606","0,889","0,224","283,072","543,835","283,072","1,27E-06","2,78E-01","16,2",,,,,,,,,,,,,,,,,
n-HEXADECANE,"226,446","0,7174",723,"13,817","0,944","0,22","291,308","560,014","291,308","9,10E-07","2,94E-01","16,2",,,,,,,,,,,,,,,,,
n-HEPTADECANE,"240,473","0,7697",736,"13,225",1,"0,219","295,134","575,3","295,134","4,59E-07","3,11E-01","16,1",,,,,,,,,,,,,,,,,
n-OCTADECANE,"254,5","0,8114",747,"12,534","1,06","0,217","301,31","589,86","301,31","3,35E-07","3,28E-01","16,1",,,,,,,,,,,,,,,,,
n-NONADECANE,"268,527","0,8522",758,"11,942","1,12","0,215","305,04","603,05","305,04","1,57E-07","3,46E-01","16,2",,,,,,,,,,,,,,,,,
n-EICOSANE,"282,553","0,9069",768,"11,448","1,17","0,213","309,58","616,93","309,58","9,14E-08","3,64E-01","16,2",,,,,,,,,,,,,,,,,
n-HENEICOSANE,"296,58","0,942",778,"10,955","1,23","0,211","313,35","629,65","313,35","6,13E-08","3,81E-01","16,2",,,,,,,,,,,,,,,,,
