Group ID,Group contribution (×10³),Number of components,Mean absolute error (K),Mean absolute error (%),Standard deviation (K)
1,41.8682,357,4.5,0.8,6.6
2,33.1371,51,3.9,0.7,5.8
3,−1.0710,42,3.7,0.5,5.1
4,40.0977,245,4.4,0.7,6.0
5,30.2069,66,4.2,0.7,6.0
6,−3.8778,21,2.5,0.4,3.5
7,52.8003,231,5.1,0.9,7.3
8,9.4422,18,2.2,0.3,3.1
9,21.2898,35,3.7,0.6,5.8
10,26.3513,11,3.5,0.5,4.5
11,−17.0459,3,4.7,0.7,5.6
12,51.7974,10,5.5,1.2,6.2
13,18.9549,11,4.3,0.8,8.1
14,−29.1568,3,4.6,0.6,5.9
15,16.1154,115,3.8,0.5,5.7
16,68.2045,76,3.5,0.5,5.0
17,68.1923,50,3.6,0.5,5.0
18,29.8039,12,5.9,0.7,9.7
19,15.6068,11,3.1,0.7,3.5
20,11.0757,5,3.3,0.9,4.0
21,18.1302,56,3.7,0.8,5.1
22,19.1772,12,4.4,1.0,6.2
23,20.8519,3,2.7,0.7,2.9
24,−24.0220,17,2.2,0.4,3.1
25,−1.3329,14,5.8,1.0,7.1
26,2.6113,7,2.8,0.6,3.5
27,15.5010,22,3.2,0.7,3.9
28,−16.1905,7,4.2,0.7,4.7
29,60.1907,3,4.7,1.1,4.9
30,5.2621,7,1.4,0.3,1.9
31,−21.5199,2,1.3,0.2,1.3
32,−8.6881,4,3.9,0.7,4.0
33,84.8567,4,8.1,1.5,10.5
34,79.3047,27,7.9,1.3,11.1
35,49.5968,28,7.4,1.1,9.0
36,130.1320,16,6.6,1.0,10.7
37,14.0159,15,4.0,0.6,4.7
38,12.5082,82,6.0,1.1,9.0
39,41.3490,3,1.4,0.3,1.7
40,18.3404,10,3.0,0.6,4.0
41,−50.6419,1,,,
42,17.1780,7,3.8,0.8,5.6
43,−0.5820,3,5.1,1.0,6.0
44,199.9042,13,4.7,0.7,6.1
45,75.7089,45,3.3,0.5,4.2
46,58.0782,6,2.3,0.4,2.7
47,109.1930,1,,,
48,102.1024,2,2.0,0.3,2.0
51,56.1572,25,2.7,0.4,3.7
52,44.2000,9,2.3,0.4,2.7
53,−7.1070,7,4.2,0.7,5.6
54,0.5887,10,5.5,0.9,9.6
56,−7.7181,4,1.2,0.2,1.5
57,117.1330,10,8.3,1.3,10.6
58,45.1531,4,2.4,0.5,2.9
60,67.9821,5,4.0,1.0,4.4
61,45.4406,26,5.0,0.9,7.0
62,56.4059,6,5.7,0.9,5.9
63,−19.9737,1,,,
64,36.0883,2,0.2,0.0,0.2
65,10.4146,4,1.3,0.2,1.7
66,18.9903,2,0.0,0.0,0.0
67,10.9495,13,4.6,0.6,7.1
68,82.6239,1,,,
70,25.4209,2,2.6,0.5,2.8
71,72.5587,9,8.6,1.4,12.8
76,164.3355,1,,,
78,157.3401a,1,,,
79,97.2830,1,,,
80,153.7225,6,8.8,1.2,10.4
82,90.9726b,1,,,
83,62.3642,1,,,
87,53.6350,1,,,
88,24.7302,1,,,
90,38.4681,1,,,
92,63.6504,1,,,
93,34.2058,11,9.9,1.5,14.4
97,27.3441,3,1.6,0.3,1.9
98,34.5325,1,,,
102,1.3231,4,1.0,0.2,1.3
103,764.9595c,1,,,
110,23.4707,2,3.9,0.6,3.9
115,36.0361,1,,,
118,Do not estimate,,,,
214,48.1680,6,6.5,0.8,8.4
215,0.2842,5,3.9,0.7,4.0
216,−0.6536,3,12.6,2.2,12.8
