Group ID	Group contribution (×104)	Number of components	Mean absolute error (kPa)	Mean absolute error (%)	Standard deviation (kPa)	Group ID	Group contribution (×104)	Number of components	Mean absolute error (kPa)	Mean absolute error (%)	Standard deviation (kPa)
1	8.1620	287	91.5	2.8	138.2	44	3.9873	13	148.3	3.9	243.5
2	5.5262	40	130.1	3.0	208.1	45	4.3592	27	97.5	3.6	130.2
3	4.1660	26	89.8	2.4	115.0	46	1.0266	3	235.8	4.6	277.4
4	5.2623	180	83.4	2.7	123.7	47	0.4329	1			
5	2.3009	48	93.0	2.8	134.8	48	0.5172	1			
6	−2.9925	20	86.0	3.1	119.1	51	0.1190	17	60.2	1.7	89.8
7	3.4310	187	111.4	3.4	157.3	52	−2.3615	7	102.9	2.9	121.3
8	2.3665	20	78.4	2.8	88.8	53	−9.4154	2	411.0	6.4	415.5
9	3.4027	28	76.7	1.8	127.2	54	−8.2595	5	89.8	2.3	128.2
10	3.6162	6	28.3	0.9	36.9	56	−4.9259	4	57.7	1.3	70.8
11	−5.1299	1				57	5.1666	6	157.0	4.3	172.7
12	4.1421	11	141.6	5.3	151.9	58	7.1581	4	53.8	1.4	60.6
13	0.8765	10	109.0	2.5	175.1	60	−6.2791	5	198.0	5.2	238.2
14	−0.1320	3	15.2	0.4	20.4	61	9.6413	21	112.0	3.3	137.7
15	2.1064	87	84.5	2.4	122.8	62	3.4731	3	75.3	1.6	82.4
16	4.1826	59	76.8	2.3	105.6	63	−2.2718	1			
17	3.5500	27	83.5	2.0	134.5	64	2.4489	2	157.2	3.1	158.3
18	1.0997	9	55.8	1.5	70.4	65	−0.5403	4	48.3	1.1	65.1
19	0.7328	17	122.9	4.8	144.8	66	8.3052	2	0.0	0.0	0.0
20	4.3757	5	218.1	5.1	248.8	67	−4.7101	4	89.6	1.7	117.5
21	3.4933	72	111.2	4.4	145.3	68	−5.0929	1			
22	2.6558	15	101.4	3.8	132.1	70	5.7270	2	147.4	5.7	168.7
23	1.6547	3	153.3	3.0	176.1	71	2.7602	9	59.9	4.0	95.7
24	0.5236	12	61.8	1.7	72.7	76	4.0458	1			
25	−2.2611	5	195.7	3.8	234.9	78a	12.6786	1			
26	−1.4992	7	160.4	3.8	189.2	79	0.2822	1			
27	0.4883	25	74.1	1.8	118.6	82	−23.9221	1			
28	−0.9280	3	24.7	0.7	25.5	83	0.7043	1			
29	11.8687	3	195.5	5.1	213.0	87	12.6128	1			
30	−4.3170	6	235.9	5.3	268.0	88	−10.2451	1			
31	−2.2409	2	140.9	3.7	145.2	90	−4.0133	1			
32	−4.7841	2	115.6	2.7	116.0	92	−5.0403	1			
33	−7.4244	3	130.1	3.5	154.3	93	3.2023	10	51.6	3.3	68.2
34	−4.4735	17	78.3	2.0	108.4	97	−4.3834	2	0.0	0.0	0.0
35	−1.8153	28	63.3	2.3	113.8	98	−13.6078	1			
36	−6.8991	14	169.6	2.9	222.6	102	3.3971	5	28.8	0.7	38.3
37	−12.1664	6	168.2	3.3	219.2	103b	58.9190	1			
38	2.0592	72	111.1	3.7	153.1	110	0.1812	2	37.2	1.1	37.3
39	0.1759	2	0.0	0.0	0.0	115	−5.1116	1			
40	−4.4164	10	222.2	4.5	338.4	118	Do not estimate	–	–	–	–
41	−9.0065	1				214	1.5574	6	172.8	6.0	213.2
42	−0.4086	7	146.5	5.6	202.0	215	3.8751	4	62.0	2.2	82.2
43	2.3625	5	88.1	2.4	148.3	216	4.4882	5	39.1	1.2	48.4
