Table 3. Group contributions, number of components used for regressing these values and mean absolute deviation in temperature for these components
GroupNumber GroupContribution(K) MeanAbsoluteError(%) MeanAbsoluteError(K) StandardDeviation(K) NumberofComponents
1 177.3066	1.36	5.86	7.89	1841
2 251.8338	1.63	6.97	9.36	267
3 157.9527	1.24	5.89	7.74	168
4 239.4531	1.20	5.40	7.12	1153
5 240.6785	1.15	5.29	7.04	391
6 249.5809	1.79	7.63	10.76	98
7 266.8769	1.66	7.01	9.30	1024
8 201.0115	1.06	5.55	7.03	183
9 239.4957	1.59	6.68	8.92	330
10 222.1163	1.28	5.51	7.50	156
11 209.9749	0.99	4.30	6.47	50
12 250.9584	1.36	5.63	8.04	78
13 291.2291	1.91	8.25	10.92	124
14 244.3581	1.38	7.25	9.89	25
15 235.3462	1.34	6.76	8.93	684
16 315.4128	1.26	6.43	8.57	539
17 348.2779	1.52	7.44	9.78	289
18 367.9649	1.09	6.11	7.82	64
19 106.5492	1.90	6.48	9.62	39
20 49.2701	3.80	8.84	10.07	9
21 53.1871	2.46	8.43	10.70	150
22 78.7578	2.48	8.26	10.54	29
23 103.5672	1.75	4.43	5.90	3
24 -19.5575	2.02	7.88	9.93	28
25 330.9117	2.00	8.23	10.71	120
26 287.1863	1.76	6.90	9.23	49
27 267.4170	2.21	8.59	11.53	55
28 205.7363	1.81	8.78	11.39	73
29 292.5816	1.98	6.90	9.29	35
30 419.4959	2.14	8.06	9.95	68
31 377.6775	1.29	6.24	8.40	26
32 556.3944	1.42	5.81	6.96	28
33	349.9409	1.45	6.30	8.49	49
34	390.2446	1.74	7.99	10.25	97
35	443.8712	1.44	7.16	9.35	89
36	488.0819	2.12	9.20	11.61	53
37	361.4775	2.07	10.38	12.98	63
38	146.4836	1.69	7.36	9.81	458
39	820.7118	1.15	4.63	6.49	20
40	321.1759	1.16	4.88	6.11	55
41	441.4388	1.21	6.31	7.77	38
42	223.0992	0.87	3.66	5.21	41
43	126.2952	2.13	9.49	12.13	51
44	1080.3139	1.67	8.56	11.29	60
45	636.2020	1.64	7.76	10.37	284
46	642.0427	1.06	4.52	8.22	19
47	1142.6119	2.55	12.32	14.67	4
48	1052.6072	1.87	8.86	11.88	10
49	1364.5333	1.50	7.53	10.20	6
50	1487.4109	1.50	7.40	8.14	4
51	618.9782	1.69	7.63	10.22	114
52	553.8090	1.79	7.24	10.44	36
53	434.0811	0.98	3.79	4.81	50
54	461.5784	1.35	5.56	7.10	56
55	864.5074	0.71	2.96	3.90	4
56	304.3321	1.47	6.84	9.77	31
57	719.2462	1.26	5.71	7.79	44
58	475.7958	1.53	6.11	8.04	115
59	586.1413	1.49	7.82	10.01	12
60	500.2434	2.05	7.10	8.87	29
61	412.6276	1.60	5.93	7.73	198
62	475.9623	2.04	8.44	10.71	91
63	512.2893	0.67	2.74	3.68	24
64	422.2307	1.80	6.23	8.11	28
65	37.1936	0.64	2.65	3.75	18
66	453.3397	1.52	6.82	8.27	23
67	306.7139	1.49	7.03	8.72	44
68	866.5843	4.25	16.36	18.45	5
69	821.4141	1.15	6.12	7.90	30
70	282.0181	1.40	5.01	7.11	37
71	207.9312	2.25	10.76	14.25	43
72	920.3617	0.86	3.49	4.03	6
73	1153.1344	0.90	5.05	5.18	4
74	494.2668	0.49	1.65	1.82	7
75	1041.0851	1.80	8.00	9.12	9
76	1251.2675	2.69	10.34	12.88	5
77	778.9151	1.33	5.93	8.17	28
78	540.0895	1.49	6.36	7.51	8
79	879.7062	0.38	1.73	1.97	4
80	660.4645	1.24	5.33	6.30	16
81	1018.4865	0.51	2.07	2.27	3
82	1559.9840	0.81	4.47	4.99	3
83	510.4223	0.29	1.14	1.34	3
84	1149.9670	0.71	3.16	3.68	6
85	1209.2972	0.30	1.20	1.44	3
86	347.7717	0.00	0.00	0.00	1
87	664.0903	3.31	9.20	11.62	5
88	957.6388	3.02	13.41	15.64	12
89	928.9954	2.80	10.11	12.53	22
90	560.1024	0.78	4.02	7.04	11
91	229.2288	1.42	5.90	7.01	6
92	606.1797	1.05	5.77	7.73	25
93	215.3416	2.30	8.38	11.33	37
94	273.1755	0.00	0.00	0.00	1
95	1218.1878	0.00	0.00	0.00	1
96	2082.3288	1.46	7.71	8.06	4
97	201.3224	1.57	6.16	8.20	19
99	886.7613	1.29	6.12	7.48	11
100	1045.0343	0.00	0.00	0.00	1
101	-109.6269	1.35	5.24	5.87	3
102	111.0590	2.43	8.89	12.58	8
103	1573.3769	0.56	2.89	2.90	2
104	1483.1289	0.43	2.03	2.03	2
105	1506.8136	1.23	6.50	7.89	3
106	484.6371	1.91	9.28	10.29	4
107	1379.4485	1.34	7.51	7.51	2
108	659.7336	1.57	6.51	7.25	3
109	492.0707	0.94	3.91	4.73	4
111	971.0365	0.00	0.00	0.00	1
113	428.8911	0.40	1.70	1.81	4
115	612.9506	1.17	5.07	5.15	3
116	562.1791	0.00	0.00	0.00	1
117	761.6006	1.29	5.49	5.53	2.00
