GroupNumber GroupContribution(K) MeanAbsoluteError(%) MeanAbsoluteError(K) StandardDeviation(K) NumberofComponents
118 40.4205 1.20 6.04 8.22 135
119 -82.2328 2.96 12.38 13.88 19
120 -247.8893 0.16 0.43 0.43 2
121 -20.3996 2.35 8.33 10.70 139
122 15.4720 2.25 8.41 10.87 69
123 -172.4201 2.00 6.85 9.07 99
124 -99.8035 2.03 6.77 9.49 37
125 -62.3740 1.84 6.54 8.92 52
126 -40.0058 1.52 6.42 8.61 180
127 -27.2705 1.32 6.63 8.90 81
128 -3.5075 1.51 7.24 9.68 84
129 16.1061 1.38 6.82 8.84 101
130 25.8348 1.43 6.57 8.30 27
131 35.8330 1.20 5.37 7.08 88
132 51.9098 0.99 4.42 6.11 44
133 111.8372 0.92 4.29 6.58 1
