Group ID	Group contribution	Number of components	Mean absolute error (cm3/mol)	Mean absolute error (%)	Standard deviation (cm3/mol)	Group ID	Group contribution	Number of components	Mean absolute error (cm3/mol)	Mean absolute error (%)	Standard deviation (cm3/mol)
1	28.7855	196	6.2	1.5	9.1	40	13.2571	4	9.1	3.3	10.0
2	28.8811	24	6.3	2.4	9.6	41	73.7444	1			
3	26.7237	13	5.2	1.5	7.2	42	20.5722	3	3.9	0.8	4.9
4	32.0493	136	6.2	1.4	9.1	43	6.0178	2	4.3	1.0	4.9
5	32.1108	29	8.7	2.1	11.7	44	40.3909	5	9.8	3.2	13.5
6	28.0534	12	9.7	2.4	12.2	45	42.6733	12	5.1	1.3	8.8
7	33.7577	122	6.5	1.9	9.9	46	36.1286	3	2.2	1.0	2.4
8	28.8792	7	1.5	0.3	2.5	48	64.3506	1			
9	24.8517	23	7.5	2.0	11.1	51	30.9229	26	4.1	0.8	6.0
10	30.9323	8	12.9	2.9	16.5	52	25.5034	4	1.2	0.6	1.3
11	5.9550	3	15.0	3.1	17.3	53	34.7699	3	11.5	4.9	13.8
12	29.5901	7	8.7	2.2	11.0	54	38.0185	5	2.3	0.7	3.3
13	20.2325	7	5.0	1.9	6.9	56	20.3127	4	5.1	1.7	6.8
14	10.5669	3	6.6	1.4	8.4	57	43.7983	1			
15	19.4020	58	4.8	1.4	7.6	60	51.0710	5	4.4	2.0	5.2
16	25.0434	31	3.2	0.8	5.5	61	48.1957	15	6.9	2.2	10.4
17	5.6704	21	7.8	2.2	10.9	62	34.1240	6	15.1	3.8	18.1
18	16.4118	8	3.8	0.9	5.6	63	40.9263	1			
19	−5.0331	11	6.2	1.9	7.9	64	29.8612	2	2.2	1.2	2.2
20	1.5646	5	4.8	2.8	5.5	65	4.7476	4	6.8	2.9	9.1
21	3.3646	46	6.9	2.2	10.4	66	−25.3680	2	0.0	0.0	0.0
22	1.0897	9	10.8	4.8	16.2	67	23.6094	5	7.1	2.4	9.6
23	1.1084	3	2.6	1.6	2.6	68	34.8472	1			
24	19.3190	10	7.9	2.2	9.4	70	75.7193	1			
25	22.0457	4	14.1	4.3	15.7	71	69.5645	6	17.0	1.5	21.1
26	23.9279	5	5.0	1.5	6.1	79	52.8789	1			
27	26.2582	20	4.4	1.6	5.9	80	27.1026	9	17.5	3.8	21.1
28	36.7624	7	11.8	3.2	13.8	82	68.0701	1			
29	34.4110	3	4.1	1.7	4.8	88	64.4616	1			
30	36.0223	11	5.5	2.0	6.7	90	20.0440	1			
31	30.7004	1				92	28.7127	1			
32	48.2989	1				93	55.3822	6	14.9	1.4	18.6
33	10.6790	1				97	29.3068	2	0.0	0.0	0.0
34	5.6645	20	5.0	1.1	6.2	102	1.3597	4	1.7	0.6	2.3
35	2.0869	10	4.8	0.9	6.3	115	16.2688	1			
36	3.7778	7	2.7	1.2	3.3	118	Do not estimate	–			
37	25.6584	2	0.0	0.0	0.0	214	16.3122	6	5.3	0.9	6.3
38	11.6284	41	11.6	3.2	15.3	215	37.0423	4	14.6	2.7	19.0
39	46.7680	2	0.0	0.0	0.0	216	55.7432	6	10.4	2.7	11.3
