Table 4. Groups considered to be non-additive (group–ID(s) given in brackets)
Group abbr.	Group name (groupID (s))	Group abbr.	Group name (GroupID (s))
OH	Alkanol (OH) (34,35,36)	Ats	Aromatic sulphur (S(a)) (56)
OH(a)	Phenol (OH(a)) (37)	SH	Thiol (SH) (53)
COOH	Carboxylic acid (COOH) (44)	NH2	Primary amine (NH2) (40, 41)
EtherO	Ether (O) (38)	NH	Secondary amine (>NH) (42,97)
Epox	Epoxide ((OC2)) (39)	OCN	Isocyanate (OCN) (80)
Ester	Ester (COOC) (45,46,47)	CN	Cyanide (CN) (57)
Ketone	Ketone (CO) (51,92)	Nitro	Nitrate (69)
Alde	Aldehyde (CHO) (52,90)	AN5	Aromatic N in 5-ring (N(a)(r5)) (66)
AO	Aromatic oxygen (O(a)) (65)	AN6	Aromatic N in 6-ring (N(a)(r6)) (67)
Teth	Sulfide (thioether) (S(na)) (54)
